component,mae,rmse,bias,rows,accuracy,precision,recall,f1,tp,tn,fp,fn,brier,rank_corr,model_loaded,used_by_optimizer,cycle_rows_recorded,neural_cycle_rows_recorded,mean_recorded_step_score,min_recorded_step_score,max_recorded_step_score,note
shared_demand,0.2644249455899042,0.5707806184513585,236.28698617219925,33567.0,,,,,,,,,,,,,,,,,,
shared_final_supply,0.6038341962912414,1.7190092633646519,-2085.428336687386,33567.0,,,,,,,,,,,,,,,,,,
allocate_classifier,,,,,0.9667750325097529,0.9694344672160011,0.9944372200549053,0.9817766841410791,13765.0,1104.0,434.0,77.0,0.021946055146524625,,,,,,,,,
allocate_ranker,,,,15380.0,,,,,,,,,,0.9374805036641506,,,,,,,,
allocate_regressor,0.11368539382941377,0.2507044823415569,-88.91108495059115,15380.0,,,,,,,,,,,,,,,,,,
allocate_auxiliary::target_cut_rec,,,,,0.958777633289987,0.9365727002967359,0.8450468540829986,0.8884588318085854,2525.0,12221.0,171.0,463.0,0.036082187483848026,,,,,,,,,
allocate_auxiliary::target_follow_rec,,,,,0.9905721716514955,0.9912702172294783,0.9989088925259137,0.9950748955538196,14648.0,587.0,129.0,16.0,0.009002767772346454,,,,,,,,,
allocate_auxiliary::target_one_flm,,,,,0.966514954486346,0.9706201321108153,0.9784337109918505,0.9745112595892105,9845.0,5020.0,298.0,217.0,0.03302227991742608,,,,,,,,,
allocate_auxiliary::target_zero_out,,,,,0.9804291287386215,0.9478638667632151,0.8511053315994799,0.8968824940047962,1309.0,13770.0,72.0,229.0,0.017274257993219362,,,,,,,,,
allocate_auxiliary::target_below_flm_remainder,,,,,1.0,0.0,0.0,0.0,0.0,15380.0,0.0,0.0,0.0005763131433522642,,,,,,,,,
review_classifier,,,,,0.9524935393412878,0.8869720404521119,0.9383259911894273,0.9119266055045872,4473.0,12850.0,570.0,294.0,0.035116161669002444,,,,,,,,,
review_ranker,,,,18187.0,,,,,,,,,,0.9586660850344244,,,,,,,,
review_regressor,0.051025030922842926,0.15000406804349112,-111.7169090601926,18187.0,,,,,,,,,,,,,,,,,,
review_auxiliary::target_cut_rec,,,,,0.9771815032715676,0.9801837844595862,0.9937888198757764,0.9869394177812747,15680.0,2092.0,317.0,98.0,0.02102618031406608,,,,,,,,,
review_auxiliary::target_follow_rec,,,,,0.9915324132622203,0.9952966998510622,0.9926510827925885,0.9939721308908721,12697.0,5336.0,60.0,94.0,0.011515020682837282,,,,,,,,,
review_auxiliary::target_one_flm,,,,,0.9682740418980591,0.9404267110002771,0.9036208732694355,0.9216564833672776,3394.0,14216.0,215.0,362.0,0.03025176554903587,,,,,,,,,
review_auxiliary::target_zero_out,,,,,0.974212349480398,0.9756850069786234,0.9897168405365127,0.9826508341656494,13282.0,4436.0,331.0,138.0,0.025636531594171414,,,,,,,,,
review_auxiliary::target_below_flm_remainder,,,,,0.9971408148677627,1.0,0.2463768115942029,0.39534883720930236,17.0,18118.0,0.0,52.0,0.0025653952087332796,,,,,,,,,
iterative_flm_step_scorer,,,,,,,,,,,,,,,True,True,26920.0,26920.0,0.981301969358418,0.40149083733558655,1.0,Fast test path: does not rebuild the step-scorer training set by default.
