segment,rows,mae_units,rmse_units,exact_rate,within_1_flm_rate,false_positives,false_negatives,pred_units,actual_units,unit_delta,negative_violations,row_over_dc_violations,group_col,group_value
State=AK,1843,0.2832338578404775,1.731894167206127,0.9327183939229517,0.9869777536625067,15,33,7220.0,7338.0,-118.0,0,0,State,AK
State=AR,146,0.08904109589041095,0.5034130089044646,0.952054794520548,1.0,0,4,293.0,306.0,-13.0,0,0,State,AR
State=AZ,2501,0.12195121951219512,0.8658522506478916,0.958016793282687,0.995201919232307,17,38,6937.0,7030.0,-93.0,0,0,State,AZ
State=CA,3953,0.22716923855299773,1.8548382661773208,0.9402985074626866,0.9929167720718441,35,70,11575.0,11961.0,-386.0,0,0,State,CA
State=CO,1727,0.1464968152866242,1.1319950771364964,0.9577301679212508,0.9959467284308049,12,28,4338.0,4491.0,-153.0,0,0,State,CO
State=FL,869,0.06559263521288838,0.5604946032123321,0.9723820483314154,1.0,1,9,1705.0,1746.0,-41.0,0,0,State,FL
State=IA,171,0.023391812865497075,0.1873171623163388,0.9824561403508771,1.0,0,1,292.0,296.0,-4.0,0,0,State,IA
State=ID,1562,0.19718309859154928,1.198056471364662,0.9443021766965429,0.9942381562099872,12,23,4304.0,4434.0,-130.0,0,0,State,ID
State=IN,411,0.024330900243309004,0.19730544946679604,0.9829683698296837,0.9975669099756691,0,2,851.0,861.0,-10.0,0,0,State,IN
State=KY,324,0.07716049382716049,0.734930919740164,0.9753086419753086,1.0,2,4,491.0,508.0,-17.0,0,0,State,KY
State=LA,169,0.10059171597633136,0.9514859136040755,0.9763313609467456,1.0,2,0,239.0,224.0,15.0,0,0,State,LA
State=MI,868,0.11175115207373272,0.8792277717715574,0.9585253456221198,0.9953917050691244,1,12,2261.0,2318.0,-57.0,0,0,State,MI
State=MN,161,0.19875776397515527,1.491174867167513,0.9503105590062112,0.9937888198757764,0,2,625.0,657.0,-32.0,0,0,State,MN
State=MS,189,0.0582010582010582,0.3170632437371139,0.9629629629629629,1.0,1,3,370.0,375.0,-5.0,0,0,State,MS
State=MT,857,0.18319719953325556,1.2831371998006496,0.9498249708284714,0.9976662777129521,4,19,2261.0,2356.0,-95.0,0,0,State,MT
State=NC,738,0.27371273712737126,1.9070543695877382,0.962059620596206,0.9986449864498645,7,15,2032.0,2090.0,-58.0,0,0,State,NC
State=ND,279,0.053763440860215055,0.7258661863112976,0.985663082437276,1.0,1,2,654.0,667.0,-13.0,0,0,State,ND
State=NE,138,0.11594202898550725,1.0425720702853738,0.9710144927536232,1.0,1,1,301.0,293.0,8.0,0,0,State,NE
State=NM,979,0.16036772216547499,1.0508034768140881,0.95097037793667,0.9938712972420838,6,13,2883.0,2914.0,-31.0,0,0,State,NM
State=NV,1175,0.11659574468085106,0.8121419014464815,0.9582978723404255,0.9940425531914894,5,15,3416.0,3457.0,-41.0,0,0,State,NV
State=NY,421,0.12826603325415678,0.7888775513182459,0.9548693586698337,0.9881235154394299,3,5,978.0,1018.0,-40.0,0,0,State,NY
State=OH,127,0.007874015748031496,0.08873565094161137,0.9921259842519685,1.0,0,1,229.0,230.0,-1.0,0,0,State,OH
State=OR,2354,0.1911639762107052,1.5628982075416136,0.9562446898895497,0.9961767204757859,13,43,6270.0,6488.0,-218.0,0,0,State,OR
State=PA,1457,0.09059711736444749,0.6791330417531042,0.9656829100892245,0.9993136582017845,8,22,3698.0,3722.0,-24.0,0,0,State,PA
State=SC,673,0.08469539375928678,0.7795682121055274,0.9732540861812778,0.9985141158989599,3,8,1568.0,1565.0,3.0,0,0,State,SC
State=TN,436,0.10779816513761468,0.929881120941042,0.9770642201834863,0.9977064220183486,0,7,908.0,951.0,-43.0,0,0,State,TN
State=UT,3586,0.2573898494143893,2.2624138553483712,0.9350250976017848,0.9880089235917456,28,88,9378.0,9881.0,-503.0,0,0,State,UT
