allocation_group,allocation_group_quality,dc_start,allocated_units,dc_remaining,rows_in_group,eligible_rows_in_group,cycles_run,partial_used,over_allocated,stop_reason,trace_truncated
100285,item,1128.0,72.0,1056.0,4,4,4,False,False,best score below threshold (0.000 < 0.400),False
107495,item,648.0,144.0,504.0,11,11,7,False,False,best score below threshold (0.103 < 0.400),False
1983214,item,64.0,1.0,63.0,1,1,2,False,False,best score below threshold (0.009 < 0.400),False
1319715,item,124.0,90.0,34.0,51,51,91,False,False,best score below threshold (0.276 < 0.400),False
1319717,item,176.0,27.0,149.0,15,15,28,False,False,best score below threshold (0.260 < 0.400),False
1517830,item,472.0,17.0,455.0,16,16,18,False,False,best score below threshold (0.316 < 0.400),False
1517831,item,49.0,7.0,42.0,13,13,8,False,False,best score below threshold (0.361 < 0.400),False
1712465,item,199.0,39.0,160.0,24,24,40,False,False,best score below threshold (0.039 < 0.400),False
1896710,item,179.0,33.0,146.0,20,20,34,False,False,best score below threshold (0.051 < 0.400),False
1896712,item,92.0,15.0,77.0,15,15,16,False,False,best score below threshold (0.283 < 0.400),False
1967029,item,2290.0,60.0,2230.0,11,11,61,False,False,best score below threshold (0.374 < 0.400),False
1971201,item,499.0,60.0,439.0,11,11,61,False,False,best score below threshold (0.200 < 0.400),False
1618320,item,3092.0,188.0,2904.0,26,26,48,False,False,best score below threshold (0.086 < 0.400),False
1713509,item,1350.0,94.0,1256.0,30,30,48,False,False,best score below threshold (0.354 < 0.400),False
1713510,item,1360.0,338.0,1022.0,79,79,170,False,False,best score below threshold (0.289 < 0.400),False
1028289,item,6217.0,144.0,6073.0,7,7,7,False,False,best score below threshold (0.378 < 0.400),False
1194782,item,3050.0,120.0,2930.0,5,5,6,False,False,best score below threshold (0.000 < 0.400),False
1291277,item,3453.0,36.0,3417.0,2,2,4,False,False,best score below threshold (0.000 < 0.400),False
1859147,item,776.0,292.0,484.0,115,115,147,False,False,best score below threshold (0.363 < 0.400),False
1983842,item,61.0,11.0,50.0,7,7,12,False,False,best score below threshold (0.353 < 0.400),False
1916683,item,381.0,96.0,285.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
1916685,item,123.0,56.0,67.0,40,40,57,False,False,best score below threshold (0.335 < 0.400),False
1916686,item,189.0,29.0,160.0,15,15,30,False,False,best score below threshold (0.248 < 0.400),False
1627954,item,44.0,0.0,44.0,4,4,1,False,False,no eligible row above threshold,False
1854818,item,1074.0,22.0,1052.0,7,7,23,False,False,best score below threshold (0.328 < 0.400),False
1854820,item,1312.0,16.0,1296.0,5,5,5,False,False,best score below threshold (0.000 < 0.400),False
1923200,item,40.0,18.0,22.0,11,11,19,False,False,best score below threshold (0.031 < 0.400),False
1647208,item,408.0,23.0,385.0,8,8,16,False,False,best score below threshold (0.009 < 0.400),False
1982902,item,467.0,24.0,443.0,14,14,25,False,False,best score below threshold (0.128 < 0.400),False
1216752,item,5868.0,308.0,5560.0,8,8,12,False,False,best score below threshold (0.012 < 0.400),False
1022298,item,413.0,37.0,376.0,18,18,38,False,False,best score below threshold (0.265 < 0.400),False
1018204,item,1475.0,438.0,1037.0,122,122,220,False,False,best score below threshold (0.340 < 0.400),False
1113079,item,1268.0,344.0,924.0,97,97,173,False,False,best score below threshold (0.384 < 0.400),False
1251114,item,129.0,38.0,91.0,21,21,39,False,False,best score below threshold (0.384 < 0.400),False
1496202,item,626.0,90.0,536.0,30,30,57,False,False,best score below threshold (0.022 < 0.400),False
1928202,item,222.0,114.0,108.0,117,117,115,False,False,best score below threshold (0.391 < 0.400),False
1665326,item,3728.0,94.0,3634.0,29,29,48,False,False,best score below threshold (0.396 < 0.400),False
1665328,item,842.0,92.0,750.0,22,22,24,False,False,best score below threshold (0.400 < 0.400),False
1665331,item,1644.0,24.0,1620.0,8,8,13,False,False,best score below threshold (0.008 < 0.400),False
1665344,item,2938.0,160.0,2778.0,63,63,81,False,False,best score below threshold (0.334 < 0.400),False
1770747,item,1149.0,92.0,1057.0,28,28,47,False,False,best score below threshold (0.112 < 0.400),False
1853984,item,960.0,103.0,857.0,43,43,104,False,False,best score below threshold (0.320 < 0.400),False
1853994,item,917.0,49.0,868.0,35,35,50,False,False,best score below threshold (0.222 < 0.400),False
1853996,item,755.0,117.0,638.0,65,65,118,False,False,best score below threshold (0.345 < 0.400),False
1853997,item,314.0,314.0,0.0,164,164,314,False,False,DC exhausted,False
1853999,item,1503.0,144.0,1359.0,41,41,145,False,False,best score below threshold (0.339 < 0.400),False
100001,item,23688.0,1692.0,21996.0,40,40,142,False,False,best score below threshold (0.255 < 0.400),False
1967030,item,1449.0,29.0,1420.0,5,5,30,False,False,best score below threshold (0.165 < 0.400),False
1907097,item,746.0,17.0,729.0,13,13,18,False,False,best score below threshold (0.012 < 0.400),False
1859148,item,320.0,164.0,156.0,90,90,83,False,False,best score below threshold (0.299 < 0.435),False
1916687,item,166.0,12.0,154.0,8,8,13,False,False,best score below threshold (0.004 < 0.400),False
1654405,item,447.0,18.0,429.0,6,6,19,False,False,best score below threshold (0.006 < 0.400),False
1853998,item,420.0,174.0,246.0,114,114,175,False,False,best score below threshold (0.405 < 0.435),False
1883354,item,898.0,314.0,584.0,120,120,315,False,False,best score below threshold (0.433 < 0.435),False
1981652,item,627.0,57.0,570.0,37,37,58,False,False,best score below threshold (0.213 < 0.400),False
1894104,item,278.0,65.0,213.0,12,12,16,False,False,best score below threshold (0.384 < 0.400),False
1894105,item,332.0,86.0,246.0,24,24,17,False,False,best score below threshold (0.251 < 0.400),False
1894107,item,175.0,105.0,70.0,23,23,21,False,False,best score below threshold (0.182 < 0.400),False
1894108,item,516.0,66.0,450.0,16,16,12,False,False,best score below threshold (0.004 < 0.400),False
1894110,item,247.0,73.0,174.0,14,14,14,False,False,best score below threshold (0.367 < 0.400),False
1894111,item,276.0,75.0,201.0,25,25,16,False,False,best score below threshold (0.372 < 0.400),False
1501178,item,349.0,294.0,55.0,51,51,50,False,False,best score below threshold (0.254 < 0.400),False
1281440,item,251.0,52.0,199.0,24,24,27,False,False,best score below threshold (0.363 < 0.400),False
1750956,item,168.0,70.0,98.0,33,33,36,False,False,best score below threshold (0.027 < 0.400),False
1532613,item,104.0,78.0,26.0,15,15,14,False,False,best score below threshold (0.177 < 0.400),False
1908276,item,278.0,66.0,212.0,11,11,12,False,False,best score below threshold (0.000 < 0.400),False
1950869,item,94.0,48.0,46.0,8,8,9,False,False,best score below threshold (0.000 < 0.400),False
1950870,item,248.0,66.0,182.0,9,9,12,False,False,best score below threshold (0.000 < 0.400),False
1950872,item,154.0,42.0,112.0,7,7,8,False,False,best score below threshold (0.000 < 0.400),False
1960233,item,245.0,102.0,143.0,19,19,18,False,False,best score below threshold (0.011 < 0.435),False
1960518,item,1068.0,204.0,864.0,16,16,18,False,False,best score below threshold (0.005 < 0.400),False
108055,item,490.0,168.0,322.0,8,8,8,False,False,best score below threshold (0.159 < 0.400),False
1839632,item,146.0,0.0,146.0,6,6,1,False,False,no eligible row above threshold,False
1839636,item,75.0,40.0,35.0,11,11,6,False,False,best score below threshold (0.000 < 0.400),False
1857807,item,151.0,80.0,71.0,16,16,11,False,False,best score below threshold (0.000 < 0.400),False
1950803,item,166.0,54.0,112.0,9,9,10,False,False,best score below threshold (0.000 < 0.400),False
1950805,item,191.0,48.0,143.0,7,7,9,False,False,best score below threshold (0.002 < 0.400),False
1983223,item,258.0,42.0,216.0,7,7,8,False,False,best score below threshold (0.000 < 0.400),False
1125263,item,251.0,36.0,215.0,12,12,10,False,False,best score below threshold (0.001 < 0.400),False
1168527,item,210.0,84.0,126.0,20,20,15,False,False,best score below threshold (0.057 < 0.400),False
1168528,item,377.0,126.0,251.0,21,21,22,False,False,best score below threshold (0.003 < 0.400),False
1168529,item,90.0,42.0,48.0,6,6,8,False,False,best score below threshold (0.001 < 0.400),False
1168530,item,300.0,212.0,88.0,49,49,54,False,False,best score below threshold (0.248 < 0.400),False
1168531,item,303.0,112.0,191.0,37,37,29,False,False,best score below threshold (0.043 < 0.435),False
1407218,item,174.0,54.0,120.0,15,15,10,False,False,best score below threshold (0.093 < 0.400),False
1407219,item,174.0,24.0,150.0,8,8,5,False,False,best score below threshold (0.000 < 0.400),False
1407221,item,120.0,36.0,84.0,6,6,7,False,False,best score below threshold (0.000 < 0.400),False
1414848,item,336.0,240.0,96.0,51,51,41,False,False,best score below threshold (0.035 < 0.400),False
1862823,item,69.0,67.0,2.0,68,68,68,False,False,best score below threshold (0.370 < 0.400),False
1864203,item,98.0,98.0,0.0,72,72,49,False,False,DC exhausted,False
1864205,item,98.0,96.0,2.0,64,64,49,False,False,best score below threshold (0.092 < 0.400),False
1864206,item,98.0,60.0,38.0,54,54,61,False,False,best score below threshold (0.235 < 0.400),False
1864207,item,96.0,90.0,6.0,90,90,91,False,False,best score below threshold (0.305 < 0.400),False
1928445,item,120.0,12.0,108.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1928446,item,228.0,84.0,144.0,14,14,15,False,False,best score below threshold (0.000 < 0.400),False
107921,item,327.0,210.0,117.0,11,11,8,False,False,best score below threshold (0.344 < 0.435),False
1259508,item,737.0,204.0,533.0,17,17,18,False,False,best score below threshold (0.000 < 0.400),False
1259509,item,462.0,72.0,390.0,6,6,7,False,False,best score below threshold (0.000 < 0.400),False
1440658,item,525.0,60.0,465.0,5,5,6,False,False,best score below threshold (0.006 < 0.400),False
1440659,item,662.0,48.0,614.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
1988398,item,1283.0,432.0,851.0,159,159,37,False,False,best score below threshold (0.067 < 0.400),False
1988399,item,960.0,240.0,720.0,196,196,21,False,False,best score below threshold (0.373 < 0.400),False
1988402,item,550.0,168.0,382.0,14,14,15,False,False,best score below threshold (0.006 < 0.400),False
1764026,item,2799.0,492.0,2307.0,42,42,42,False,False,best score below threshold (0.130 < 0.400),False
1764027,item,3455.0,900.0,2555.0,75,75,76,False,False,best score below threshold (0.000 < 0.400),False
1764029,item,2604.0,516.0,2088.0,43,43,44,False,False,best score below threshold (0.000 < 0.400),False
1988201,item,104.0,70.0,34.0,11,11,8,False,False,best score below threshold (0.001 < 0.435),False
1988202,item,70.0,30.0,40.0,3,3,4,False,False,best score below threshold (0.001 < 0.400),False
1988203,item,5036.0,72.0,4964.0,6,6,7,False,False,best score below threshold (0.000 < 0.400),False
1652705,item,1261.0,375.0,886.0,63,63,76,False,False,best score below threshold (0.308 < 0.400),False
1652706,item,773.0,250.0,523.0,41,41,51,False,False,best score below threshold (0.037 < 0.400),False
1736933,item,1200.0,545.0,655.0,108,108,110,False,False,best score below threshold (0.323 < 0.400),False
1947202,item,724.0,255.0,469.0,43,43,52,False,False,best score below threshold (0.037 < 0.400),False
1947203,item,1892.0,435.0,1457.0,63,63,88,False,False,best score below threshold (0.020 < 0.400),False
1947205,item,3006.0,495.0,2511.0,75,75,100,False,False,best score below threshold (0.313 < 0.400),False
1947206,item,480.0,185.0,295.0,30,30,38,False,False,best score below threshold (0.001 < 0.400),False
1987220,item,2410.0,415.0,1995.0,61,61,84,False,False,best score below threshold (0.004 < 0.400),False
1987221,item,1369.0,220.0,1149.0,37,37,45,False,False,best score below threshold (0.010 < 0.400),False
1514374,item,1296.0,444.0,852.0,37,37,38,False,False,best score below threshold (0.285 < 0.400),False
1514376,item,1920.0,1044.0,876.0,77,77,88,False,False,best score below threshold (0.023 < 0.400),False
1943714,item,1008.0,72.0,936.0,6,6,7,False,False,best score below threshold (0.012 < 0.400),False
1697042,item,79.0,0.0,79.0,13,13,1,False,False,no eligible row above threshold,False
1697045,item,20.0,4.0,16.0,16,16,3,False,False,best score below threshold (0.002 < 0.400),False
1858860,item,1.0,0.0,1.0,2,2,1,False,False,best score below threshold (0.027 < 0.400),False
1858861,item,1.0,0.0,1.0,2,2,1,False,False,best score below threshold (0.004 < 0.400),False
1858862,item,12.0,2.0,10.0,7,7,3,False,False,best score below threshold (0.000 < 0.400),False
1858863,item,2.0,0.0,2.0,3,3,1,False,False,no eligible row above threshold,False
1858874,item,4.0,1.0,3.0,6,6,2,False,False,best score below threshold (0.001 < 0.400),False
1858878,item,4.0,1.0,3.0,7,7,2,False,False,best score below threshold (0.364 < 0.400),False
100553,item,31.0,6.0,25.0,9,9,4,False,False,best score below threshold (0.001 < 0.400),False
1000811,item,14.0,2.0,12.0,9,9,2,False,False,best score below threshold (0.012 < 0.400),False
1000817,item,103.0,6.0,97.0,7,7,4,False,False,best score below threshold (0.008 < 0.400),False
1000819,item,50.0,34.0,16.0,19,19,18,False,False,best score below threshold (0.335 < 0.400),False
1000820,item,46.0,14.0,32.0,7,7,8,False,False,best score below threshold (0.212 < 0.400),False
1475913,item,40.0,14.0,26.0,11,11,8,False,False,best score below threshold (0.016 < 0.400),False
1983215,item,8.0,0.0,8.0,25,25,1,False,False,no eligible row above threshold,False
1983216,item,10.0,0.0,10.0,20,20,1,False,False,no eligible row above threshold,False
1866178,item,627.0,420.0,207.0,38,38,36,False,False,best score below threshold (0.368 < 0.435),False
1866179,item,1090.0,264.0,826.0,21,21,23,False,False,best score below threshold (0.000 < 0.400),False
1866182,item,382.0,264.0,118.0,24,24,23,False,False,best score below threshold (0.032 < 0.435),False
1866183,item,468.0,228.0,240.0,28,28,20,False,False,best score below threshold (0.009 < 0.435),False
1201266,item,1240.0,1100.0,140.0,157,157,111,False,False,best score below threshold (0.259 < 0.435),False
1201267,item,930.0,650.0,280.0,106,106,66,False,False,best score below threshold (0.226 < 0.400),False
1201268,item,1250.0,1140.0,110.0,116,116,115,False,False,best score below threshold (0.337 < 0.400),False
1808823,item,450.0,320.0,130.0,33,33,33,False,False,best score below threshold (0.250 < 0.435),False
1854424,item,312.0,144.0,168.0,17,17,13,False,False,best score below threshold (0.000 < 0.435),False
1868542,item,384.0,216.0,168.0,18,18,19,False,False,best score below threshold (0.001 < 0.400),False
1868543,item,192.0,120.0,72.0,10,10,11,False,False,best score below threshold (0.000 < 0.400),False
1938555,item,1250.0,1220.0,30.0,130,130,123,False,False,best score below threshold (0.308 < 0.400),False
1941165,item,444.0,312.0,132.0,31,31,27,False,False,best score below threshold (0.004 < 0.400),False
1955389,item,912.0,192.0,720.0,16,16,17,False,False,best score below threshold (0.003 < 0.400),False
1955390,item,1728.0,252.0,1476.0,20,20,22,False,False,best score below threshold (0.001 < 0.400),False
1955391,item,1728.0,84.0,1644.0,7,7,8,False,False,best score below threshold (0.000 < 0.400),False
1153331,item,840.0,137.0,703.0,81,81,138,False,False,best score below threshold (0.371 < 0.400),False
1440422,item,1920.0,58.0,1862.0,36,36,59,False,False,best score below threshold (0.396 < 0.400),False
