nan,Vendor,Site,Brand,Dcl,Department Id,Class Id,Class Name,Line Id,Line Name,Product ID,Pcode Description,Color,Size,Item,Description,Mfg Code,UPC,Status,Status 300,Site Name,State,Square Footage,Region,Zone,MIL,FLM,DC FLM,Orgs,Cost,Retail,ATG Retail,GM Pct,Last Receipt,Last Sold Date,L30,D30,D60,LW,TTM,QoH,Supply,Allocated,Intrans,Store Transfer,QTY Reserve,Store PO Qty,Dc Qoh,Dc Avail,DC Staged,DC RV,DC PO QTY,Buyer Name,Planner Code,Private Label,Season Code,Store Size,Rank,Supply In Stock,Avg. WOC,Days,Proj. Demand,Alloc. Rec.,New,Store Flag,SKU Flag,Flag,Final Alloc.,Final Supply,Final Cost,% UA,Final In Stock,Demand Check,Helper,736,__source_file,21,4364,4852,4950,53,4188,3908,1722,9518,3561,3549,3143,1957,1648,target_units,target_positive,target_flms,target_final_supply,target_shared_demand,target_rank_score,target_cut_rec,target_follow_rec,target_one_flm,target_zero_out,target_below_flm_remainder,model_segment,classifier_probability,rank_priority,pred_flms_raw,shared_demand_score,target_final_supply_prediction,aux_cut_rec,aux_follow_rec,aux_one_flm,aux_zero_out,aux_below_flm_remainder,Predicted Final Alloc,allocation_group,allocation_group_quality,optimizer_model_segment,optimizer_classifier_probability,optimizer_rank_priority,optimizer_pred_flms_raw,optimizer_shared_demand_score,optimizer_target_final_supply_prediction,row_cap_units,predicted_final_alloc,predicted_final_supply,allocated_flms,decision_reason,actual_final_alloc,prediction_error_units,abs_error_units
,STANSPORT,LOS ANGELES,Stansport,1.134.2,1,134,Fuel,2,Butane,p214267,Stansport Butane Gas 8 OZ Cartridge,Brown,8oz,1216752,SS BUTANE FUEL,181,859176000099,Active,Active,Ecommerce,UT,,,,240,28,2268,147,2.12,2.12,4.99,0,,46054,0,0,0,0,12,0,0,,,,,0,6233,5868,364,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.9931972789115646,,60,0,252,New,Disaster Prep,Disaster Prep,Allocate,252,252,534.24,0.32727918121043603,1,,Review Final Alloc - Above FLM / Weak Demand,,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",,,,,,,,,,,,,,,252.0,1.0,9.0,252.0,252.0,6.802585092994046,0.0,1.0,0.0,0.0,0.0,Allocate,0.9921557307243347,5.863661766052246,8.146075248718262,253.26048,106.02361,-0.02266288734972477,0.7405099868774414,0.08750028908252716,-0.07653124630451202,0.08214053511619568,140,1216752,item,Allocate,0.9921557307243347,5.863661766052246,8.146075248718262,253.26048278808594,106.02361297607422,280.0,140,140.0,5.0,allocated by neural iterative item FLM cycle,252.0,-112.0,112.0
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,Rohnert Park,CA,44644,Northern California,3,48,12,20160,147,5.35,6.99,6.99,0.23,46118,46167,156,231,548,61,1966,120,180,60,0,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,1,4.949999999999999,60,435,252,-,-,Disaster Prep,Allocate,252,432,1348.1999999999998,0.3334762633996937,1,,,,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",,,,,,,,,,,,,,,252.0,1.0,21.0,432.0,435.0,7.591042453358316,0.0,1.0,0.0,0.0,0.0,Allocate,1.0,7.410688877105713,21.443115234375,439.33704,430.5091,-0.0035617463290691376,0.6103674173355103,-0.12702015042304993,-0.0399966835975647,-0.0474187508225441,192,100001,item,Allocate,1.0,7.410688877105713,21.443115234375,439.3370361328125,430.50909423828125,264.0,192,372.0,16.0,allocated by neural iterative item FLM cycle,252.0,-60.0,60.0
,STANSPORT,LOS ANGELES,Stansport,1.136.1,1,136,Accessories,1,Camp Accessories,p1119,Stansport Steel Tent Stake,Silver,10in,100677,SS STEEL TENT PEGS T STOPPER,818-50,011319132542,Active,Active,Riverton,WY,9275,Rocky Mountain,5,6,50,50,146,0.63,1.99,1.99,0.68,45808,46183,39,2,6,39,97,45,45,,0,0,0,0,1283,633,650,0,0,"Branham, Dave Michael",Camp1,,,Less than 20K,E,1,4.949999999999999,60,88,50,-,-,-,Allocate,50,95,31.5,0.01826592903471957,1,,,,"Daily Allocation - 132, 143, 150, 136, 139, 158, 101, 108, 109, 151 - 6.11.2026.xlsb",,,,,,,,,,,,,,,50.0,1.0,1.0,95.0,95.0,2.9681471805599453,0.0,1.0,1.0,0.0,0.0,Allocate,0.26435187458992004,2.8376660346984863,0.8286954164505005,94.77395,88.27733,0.30533814430236816,0.9566218852996826,0.5472497940063477,0.2925761044025421,-0.0012060471344739199,0,100677,item,Allocate,0.26435187458992004,2.8376660346984863,0.8286954164505005,94.7739486694336,88.27732849121094,100.0,0,45.0,0.0,blank/stop: classifier below threshold (0.264 < 0.275),50.0,-50.0,50.0
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,Chico,CA,40622,Northern California,3,48,12,20160,147,5.35,6.99,6.99,0.23,46119,46167,106,280,534,39,2030,205,205,,0,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,1,8.296698113207547,60,396,192,-,-,Disaster Prep,Allocate,192,397,1027.1999999999998,0.3334762633996937,1,,,,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",,,,,,,,,,,,,,,192.0,1.0,16.0,397.0,397.0,7.333213344056216,0.0,1.0,0.0,0.0,0.0,Allocate,1.0,6.912057876586914,15.786511421203613,400.74652,394.79398,-0.019590629264712334,0.6910936832427979,-0.05350567400455475,-0.09131403267383575,0.0987800806760788,144,100001,item,Allocate,1.0,6.912057876586914,15.786511421203613,400.74652099609375,394.7939758300781,204.0,144,349.0,12.0,allocated by neural iterative item FLM cycle,192.0,-48.0,48.0
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,Portland,OR,48698,Pacific North West,2,48,12,20160,147,5.35,6.99,6.99,0.23,46118,46167,149,281,609,52,2017,187,235,48,0,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A+,1,6.766107382550336,60,450,216,-,-,Disaster Prep,Allocate,216,451,1155.6,0.3334762633996937,1,,,,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",,,,,,,,,,,,,,,216.0,1.0,18.0,451.0,451.0,7.44443897916644,0.0,1.0,0.0,0.0,0.0,Allocate,1.0,7.089414119720459,17.431175231933594,454.72412,448.56754,-0.022976426407694817,0.7475975155830383,-0.11009982973337173,-0.09397013485431671,0.06556766480207443,168,100001,item,Allocate,1.0,7.089414119720459,17.431175231933594,454.72412109375,448.5675354003906,228.0,168,403.0,14.0,allocated by neural iterative item FLM cycle,216.0,-48.0,48.0
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,Brentwood,CA,28220,Northern California,3,48,12,20160,147,5.35,6.99,6.99,0.23,46119,46167,98,198,380,41,1367,92,104,12,0,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,B,1,4.55265306122449,60,310,204,-,-,Disaster Prep,Allocate,204,308,1091.3999999999999,0.3334762633996937,1,,,,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",,,,,,,,,,,,,,,204.0,1.0,17.0,308.0,310.0,7.3903717578961645,0.0,1.0,0.0,0.0,0.0,Allocate,1.0,7.282644271850586,16.82723617553711,315.26035,313.4426,-0.0020274287089705467,0.7165818810462952,0.0693548172712326,-0.027973396703600883,0.12468048930168152,156,100001,item,Allocate,1.0,7.282644271850586,16.82723617553711,315.2603454589844,313.4425964355469,216.0,156,260.0,13.0,allocated by neural iterative item FLM cycle,204.0,-48.0,48.0
,PEARSON CANDY CO,ST PAUL MN,Pearson's,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p305029,Pearson's King Size Original Nut Roll - 3 Servings,,,1801071,PEARSON KING SZ NUT ROLL 2/$4,51400,077290514005,Active,Active,Soldotna,AK,49870,Alaska,1,288,18,144,148,1.17,2,2,0.42,46163,46173,332,40,42,114,1668,189,333,144,0,0,0,0,5922,1314,4608,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A,0.9931972789115646,4.302921686746989,60,408,72,-,Large Display,-,Allocate,18,351,21.06,0.028208867509740332,0.9931972789115646,,,,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb",,,,,,,,,,,,,,,18.0,1.0,1.0,351.0,408.0,2.6931471805599454,1.0,0.0,1.0,0.0,0.0,Allocate,0.9999781847000122,2.126096248626709,3.377199649810791,422.63397,390.54617,0.47054988145828247,0.3828345239162445,0.49753591418266296,0.01023017056286335,-0.02486971579492092,54,1801071,item,Allocate,0.9999781847000122,2.126096248626709,3.377199649810791,422.63397216796875,390.5461730957031,90.0,54,387.0,3.0,allocated by neural iterative item FLM cycle,18.0,36.0,36.0
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,Sheridan CO,CO,31556,Rocky Mountain,5,48,12,20160,147,5.35,6.99,6.99,0.23,46116,46167,97,205,445,38,1554,179,179,,0,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,A,1,7.91659793814433,60,327,144,-,-,Disaster Prep,Allocate,144,323,770.4,0.3334762633996937,1,,,,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",,,,,,,,,,,,,,,144.0,1.0,12.0,323.0,327.0,6.83578269079487,0.0,1.0,0.0,0.0,0.0,Allocate,1.0,5.938931465148926,11.994354248046875,330.9842,326.46072,-0.022998375818133354,0.8903819918632507,-0.06946300715208054,-0.0696934163570404,0.0403105765581131,120,100001,item,Allocate,1.0,5.938931465148926,11.994354248046875,330.98419189453125,326.4607238769531,156.0,120,299.0,10.0,allocated by neural iterative item FLM cycle,144.0,-24.0,24.0
,COGHLANS LTD,WINNIPEG,Coghlan's,1.136.1,1,136,Accessories,1,Camp Accessories,p9399,Coghlan's Emergency Poncho,Assorted,One Size Fits Most,102186,EMERGENCY PONCHO,9173,056389091733,Active,Active,Roseburg,OR,39988,Pacific North West,2,60,24,24,147,0.89,2.99,2.99,0.7,45887,46167,1,7,9,1,58,48,48,,0,0,0,0,2859,747,2112,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,C,1,205.92000000000002,60,9,24,-,Disaster Prep,Disaster Prep,Allocate,24,72,21.36,0.06085376930063579,1,,Review Final Alloc - Single FLM May Be Too High,,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 5.28.2026.xlsb",,,,,,,,,,,,,,,24.0,1.0,1.0,72.0,72.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,Allocate,0.15627078711986542,2.0252180099487305,0.8549044132232666,65.389366,60.2424,0.27653101086616516,1.0498547554016113,0.7843785881996155,0.19496075809001923,-0.028038838878273964,0,102186,item,Allocate,0.15627078711986542,2.0252180099487305,0.8549044132232666,65.38936614990234,60.242401123046875,48.0,0,48.0,0.0,blank/stop: classifier below threshold (0.156 < 0.275),24.0,-24.0,24.0
,WESTFIELD OUTDOORS INC,INDIANAPOLIS,Sportsman's Warehouse,1.127.1,1,127,Camp Furniture,1,Stools/Chairs,p233602,Sportsman's Warehouse Padded Club Chair,Blue,XL,1665336,SW PADDED CLUB CHAIR BLUE 350 LB,FC-332XL-BLUE,844093005555,Active,Phaseout,Ecommerce,UT,,,,2,2,2,145,23.68,23.68,99.99,0,,46167,303,203,237,74,766,34,34,,,,,0,1383,665,718,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.9724137931034482,0.4813861386138614,60,402,368,New,Disaster Prep,-,Review,42,76,994.56,0,1,,,,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",,,,,,,,,,,,,,,42.0,1.0,21.0,76.0,402.0,7.591042453358316,1.0,0.0,0.0,0.0,0.0,Review,0.9981385469436646,6.472976207733154,17.01243782043457,406.7931,73.26525,0.653540849685669,-0.04744388908147812,0.1302981674671173,0.29644775390625,0.016739806160330772,18,1665336,item,Review,0.9981385469436646,6.472976207733154,17.01243782043457,406.7930908203125,73.26525115966797,370.0,18,52.0,9.0,allocated by neural iterative item FLM cycle,42.0,-24.0,24.0
