model_name,model_role,model_file,model_task,model_input_dim,model_output_dim,hidden_layers,feature_rank,feature_name,feature_family,importance_raw,importance_normalized,importance_percent,cumulative_importance_percent,importance_method
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,1,supply_to_sheet_need,supply context,360.5724652750833,0.003255537586888415,0.3255537586888415,0.3255537586888415,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,2,post_rec_to_sheet_need,allocation recommendation,350.0047110266513,0.0031601234205889356,0.3160123420588935,0.641566100747735,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,3,Supply,supply context,342.3532611629509,0.0030910399906979003,0.30910399906979,0.950670099817525,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,4,gap_after_1flm_to_velocity,demand/sales,338.3085955315902,0.0030545215034106224,0.3054521503410622,1.2561222501585871,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,5,supply_gap_proj,supply context,332.83822661384414,0.003005130622683549,0.30051306226835495,1.556635312426942,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,6,class_line_need_percentile,other,332.4999351107578,0.0030020762555044516,0.30020762555044517,1.8568429379773872,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,7,supply_after_2flm,supply context,331.40239228263584,0.0029921667580406204,0.299216675804062,2.156059613781449,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,8,gap_after_3flm_to_velocity,demand/sales,330.85964727377007,0.0029872664205311808,0.2987266420531181,2.454786255834567,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,9,hash__Flag__11,hashed identity/category,328.6237116119488,0.002967078598969792,0.29670785989697923,2.7514941157315462,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,10,row_rec_vs_peer_avg,allocation recommendation,327.567444439647,0.002957541771251676,0.29575417712516755,3.0472482928567137,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,11,supply_gap_velocity,supply context,326.59351620361247,0.002948748365529685,0.2948748365529685,3.342123129409682,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,12,supply_after_rec,supply context,325.981047263193,0.0029432185044105997,0.29432185044105996,3.636444979850742,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,13,class_line_rec_percentile,allocation recommendation,322.8206917036202,0.0029146842781371885,0.29146842781371884,3.9279134076644606,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,14,mil,other,322.63564293686017,0.0029130135093636076,0.2913013509363608,4.219214758600821,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,15,gap_after_2flm_to_velocity,demand/sales,322.13046560824137,0.0029084523630206454,0.29084523630206455,4.5100599949028854,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,16,gap_after_1flm_to_proj,demand/sales,322.1249758339121,0.0029084027969322897,0.29084027969322895,4.800900274596114,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,17,gap_after_3flm_to_proj,demand/sales,320.3862984299471,0.0028927046219877238,0.2892704621987724,5.090170736794887,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,18,proj_gap_units,demand/sales,320.0112116024016,0.0028893180370900403,0.288931803709004,5.379102540503891,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,19,shortage_units,other,316.94549977218185,0.0028616383303597033,0.28616383303597037,5.665266373539861,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,20,row_proj_vs_peer_avg,demand/sales,316.791229228763,0.0028602454520869082,0.2860245452086908,5.951290918748552,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,21,row_l30_vs_peer_avg,demand/sales,314.7538138589081,0.0028418500310399726,0.28418500310399725,6.235475921852549,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,22,proj_rec_agreement,demand/sales,314.6664187796014,0.0028410609581267787,0.2841060958126779,6.519582017665227,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,23,supply_gap_sheet_need,supply context,314.28537139525054,0.002837620556538728,0.28376205565387286,6.8033440733191,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,24,MIL,other,313.98890791938186,0.0028349438463576176,0.28349438463576176,7.086838457954862,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,25,site_rec_percentile,allocation recommendation,313.83305002103975,0.0028335366361706745,0.2833536636170675,7.370192121571929,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,26,sheet_need,other,313.206441309169,0.00282787910984733,0.28278791098473305,7.652980032556662,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,27,shortage_sheet_units,other,313.1898123696071,0.002827728970435735,0.28277289704357356,7.935752929600235,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,28,demand_signal_cv,demand/sales,312.543006799197,0.0028218890906649033,0.2821889090664903,8.217941838666725,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,29,gap_after_2flm_to_proj,demand/sales,311.97148211562427,0.0028167289071556437,0.2816728907155644,8.499614729382289,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,30,site_need_percentile,other,311.4996100397889,0.00281246846736329,0.281246846736329,8.780861576118618,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,31,D60,demand/sales,309.70828120793686,0.0027962949130733855,0.27962949130733855,9.060491067425955,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,32,demand_signal_share_above_supply_plus_1flm,supply context,309.6045021175237,0.0027953579121592544,0.2795357912159254,9.340026858641881,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,33,oversupply_after_1flm,supply context,309.28692698824744,0.0027924905890284353,0.2792490589028435,9.619275917544725,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,34,supply_to_weighted_velocity,supply context,308.0646669236547,0.0027814550442643656,0.27814550442643654,9.897421421971162,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,35,d60_month,demand/sales,308.04951504870655,0.0027813182409774924,0.2781318240977492,10.17555324606891,absolute neural weight-path strength
shared_demand,shared demand prediction,shared_demand_model.npz,regression,914,1,512 > 256 > 128,36,rec_units,allocation recommendation,307.92903387934393,0.0027802304402906788,0.27802304402906786,10.453576290097978,absolute neural weight-path strength
